output_nclust_2_data_id_36_true_nClust_3	-1005.073470	10.407223	-993.853762	21.626931	-1005.398979	10.081714	-473.464155	542.016539	-484.347849	531.132845

output_nclust_2_data_id_37_true_nClust_3	-746.167501	9.449577	-720.088334	35.528744	-746.706852	8.910226	-200.903922	554.713157	-231.052613	524.564465

output_nclust_2_data_id_38_true_nClust_3	-891.854714	10.821964	-877.417436	25.259242	-892.052337	10.624341	-360.709204	541.967474	-375.978178	526.698500

output_nclust_2_data_id_39_true_nClust_3	-1006.591015	10.266364	-994.334802	22.522577	-1007.984470	8.872910	-488.419585	528.437794	-499.223480	517.633899

output_nclust_2_data_id_40_true_nClust_3	-788.256592	10.275738	-772.235377	26.296953	-788.919596	9.612733	-290.514031	508.018299	-308.861386	489.670944

output_nclust_2_data_id_41_true_nClust_3	-771.629653	9.492919	-747.115355	34.007217	-772.582210	8.540362	-229.158044	551.964528	-256.480329	524.642243

output_nclust_2_data_id_42_true_nClust_3	-978.637147	10.889806	-974.226390	15.300562	-986.139754	3.387199	-472.730824	516.796128	-483.650651	505.876302

output_nclust_2_data_id_43_true_nClust_3	-867.253801	11.570219	-853.984844	24.839176	-868.115030	10.708990	-352.489278	526.334742	-366.077123	512.746897

output_nclust_2_data_id_44_true_nClust_3	-677.123770	10.040277	-642.517735	44.646312	-677.523634	9.640412	-157.263257	529.900790	-200.320506	486.843541

output_nclust_2_data_id_45_true_nClust_3	-1028.937593	10.100089	-1018.630169	20.407513	-1029.614010	9.423672	-533.375691	505.661991	-543.623234	495.414448

output_nclust_2_data_id_46_true_nClust_3	-806.692658	10.074129	-784.605378	32.161409	-806.853666	9.913121	-299.350900	517.415887	-320.989292	495.777495

output_nclust_2_data_id_47_true_nClust_3	-803.355170	11.254680	-785.177308	29.432542	-803.593395	11.016455	-277.834400	536.775450	-296.538094	518.071756

output_nclust_2_data_id_48_true_nClust_3	-1004.881567	9.422451	-991.716268	22.587749	-1008.431036	5.872981	-481.585733	532.718284	-495.360547	518.943470

output_nclust_2_data_id_49_true_nClust_3	-1040.661569	9.881071	-1027.962117	22.580523	-1041.766393	8.776247	-522.046900	528.495740	-535.922997	514.619643

output_nclust_2_data_id_50_true_nClust_3	-1032.974808	10.105526	-1022.166994	20.913340	-1033.957732	9.122603	-520.671428	522.408906	-530.285829	512.794505

output_nclust_3_data_id_1_true_nClust_3	-1277.445794	13.399951	-1255.200973	35.644772	-1279.600404	11.245341	-378.089509	912.756236	-400.971328	889.874417

output_nclust_3_data_id_2_true_nClust_3	-1255.671396	14.407149	-1239.306057	30.772488	-1257.062517	13.016027	-367.692948	902.385596	-382.870066	887.208479

output_nclust_3_data_id_3_true_nClust_3	-1274.685389	14.952874	-1261.658525	27.979738	-1275.610700	14.027564	-389.111932	900.526331	-400.972657	888.665606

output_nclust_3_data_id_4_true_nClust_3	-1279.532114	15.518156	-1267.420021	27.630249	-1281.145736	13.904534	-390.889942	904.160328	-402.816199	892.234071

output_nclust_3_data_id_5_true_nClust_3	-1438.720380	15.559767	-1429.221834	25.058313	-1439.864311	14.415836	-550.366962	903.913185	-559.015311	895.264836

output_nclust_3_data_id_6_true_nClust_3	-1267.749470	15.680669	-1249.904045	33.526094	-1269.258535	14.171604	-371.273089	912.157049	-388.678606	894.751533

